"No","표준명 [INGR_KOR_NAME] ","영문명 [INGR_ENG_NAME] ","CASNO [CAS_NO] ","기원및정의 [ORIGIN_MAJOR_KOR_NAME] ","이명 [INGR_SYNONYM] ","rownum"
"6627","아이소아밀라우레이트","Isoamyl Laurate","","이 원료는 아이소아밀알코올과 라우릴애씨드의 에스터이다.","이소아밀라우레이트","6627"
"6628","비스-피이지/피피지-20/5피이지/피피지-20/5다이메티콘","Bis-PEG/PPG-20/5 PEG/PPG-20/5 Dimethicone","","이 원료는 평균20몰의 에틸렌옥사이드와 5몰의 프로필렌옥사이드의 알콕실화된 곁사슬을 포함하고 말단이 평균20몰의 에틸렌옥사이드와 5몰의 프로필렌옥사이드로 치환된 다이메티콘의 유도체이다.","비스-피이지/피피지-20/5피이지/피피지-20/5디메치콘","6628"
"6629","메톡시피이지/피피지-25/4다이메티콘","Methoxy PEG/PPG-25/4 Dimethicone","","이 원료는 4몰의 프로필렌옥사이드와 25몰의 에틸렌옥사이드를 포함하는 다이메티콘의 알콕실화 유도체의 메틸에터이다.","메톡시피이지/피피지-25/4디메치콘,메톡시피이지/피피지-25/다이메티콘","6629"
"6630","인체줄기세포배양액","Human Stem Cell Conditioned Media","","이 원료는 인체줄기세포를 수 일간 배양한 후 이를 제거한 성장배지이다. 시작 배지는 Dulbecco's Modified Eagle Medium이고, fetal bovine serum를 포함 할 수도 하지 않을 수도있다.","","6630"
"6631","인체내피세포배양액","Human Endothelial Cell Conditioned Media","","이 원료는 인체내피세포를 수 일간 배양한 후 이를 제거한 성장배지이다.시작 배지는 Knockout Serum Replacement를 넣어 만든 Dulbecco's Modified Eagle Medium이고, fetal bovine serum를 포함 할 수도 있다.","","6631"
"6632","파피루스줄기추출물","Cyperus Papyrus Stem Extract","","이 원료는 파피루스 Cyperus papyrus의 줄기에서 추출한 것이다.","","6632"
"6633","스타아니스수","Illicium Verum (Anise) Fruit Water","","이 원료는 스타아니스 (Anise) Illicium Verum의 열매를 증류하여 얻은 수용액이다.","팔각회향수","6633"
"6634","하이드롤라이즈드키토산","Hydrolyzed Chitosan","","이 원료는 산, 효소 또는 다른 방법으로 키토산을 가수분해한 것이다.","","6634"
"6635","피피지-25솔비톨","PPG-25 Sorbitol","","이 원료는 평균 25몰의 프로필렌옥사이드를 함유한 솔비톨과 폴리프로필렌글라이콜의 에터이다.","피피지-25소르비톨","6635"
"6636","피피지-20-데실테트라데세스-10","PPG-20-Decyltetradeceth-10","","이 원료는 주로 다음의 구조를 갖는 데실테트라데칸올의 폴리옥시프로필렌, 폴리옥시에터린에터이다. x는 평균 20, y는 평균 10이다.","","6636"
"6637","피피지-17","PPG-17","","이 원료는 주로 다음의 구조를 갖는 프로필렌옥사이드이다. n은 평균 17이다.","","6637"
"6638","피피지-10글리세릴에터","PPG-10 Glyceryl Ether","","이 원료는 주로 다음의 구조를 갖는 글리세린의 폴리프로필렌글라이콜에터이다. n은 평균 10이다.","피피지-10글리세릴에텔","6638"
"6639","피피지-1베헤네스-15","PPG-1 Beheneth-15","","이 원료는 주로 다음의 구조를 갖는 베헤닐알코올의 폴리옥시프로필렌, 폴리옥시에틸렌에터이다. x는 평균 1, y는 평균 15이다.","","6639"
"6640","폴리부틸렌글라이콜/피피지-9/1코폴리머","Polybutylene Glycol/PPG-9/1 Copolymer","","이 원료는 평균 9몰의 부틸렌옥사이드와 1몰의 프로필렌옥사이드의 상호작용으로 생산된 공중합체이다.","","6640"
"6641","피페리딘프로피오닉애씨드","Piperidinepropionic Acid","","이 원료는 다음의 구조를 갖는 유기화합물이다.","","6641"
"6642","폴리아크릴레이트-1","Polyacrylate-1","","이 원료는 아크릴릭 또는 메타크릴릭애씨드의 하나 이상의 단순 에스터, C1-4다이알킬아미노C1-6알킬메타크릴레이트, 피이지20-25C10-30알킬에터메타크릴레이트, 에틸렌클라이콜이 가교된 하이드록시C2-6알킬메타크릴레이트의 공중합체이다.","","6642"
"6643","메틸아미노메틸사이클로헥세인카복사마이드에이치씨엘","Methyl Aminomethylcyclohexane Carboxamide HCl","","이 원료는 다음의 구조를 갖는 아민염이다.","메칠아미노메칠사이클로헥산카복사마이드에이치씨엘","6643"
"6644","카복시데실트라이실록세인","Carboxydecyl Trisiloxane","","이 원료는 다음의 구조를 갖는 실리콘 화합물이다.","카복시데실트리실록산","6644"
"6645","2-O-에틸아스코빅애씨드","2-O-Ethyl Ascorbic Acid","","이 원료는 다음의 구조를 갖는 유기화합물이다.","2-O-에칠아스코빅애씨드","6645"
"6646","램푸양추출물","Zingiber Aromaticus Extract","","이 원료는 램푸양 Zingiber aromaticus의 뿌리에서 추출한 것이다.","렘푸양추출물","6646"
"6647","트라이메틸실록시실릴카바모일풀루란","Trimethylsiloxysilylcarbamoyl Pullulan","","이 원료는 트라이메틸실록시실릴아이소사이나네이트와 풀루란의 반응으로 형성된 실록세인 중합체이다.","트라이메틸실록시실릴카바모일풀룰란,트리메칠실록시실릴카바모일풀루란","6647"
"6648","티오타우린","Thiotaurine","","이 원료는 다음의 구조를 갖는 유기화합물이다.","치오타우린","6648"
"6649","테트라데센","Tetradecene","","이 원료는 다음의 구조를 갖는 탄화수소이다.","","6649"
"6650","위성류꽃/잎추출물","Tamarix Chinensis Flower/Leaf Extract","","이 원료는 위성류 Tamarix chinensis의 꽃 및 잎에서 추출한 것이다.","","6650"
"6651","소듐페놀설포네이트","Sodium Phenolsulfonate","","이 원료는 다음의 구조를 갖는 유기염이다.","","6651"
"6652","소듐메틸타우레이트","Sodium Methyltaurate","","이 원료는 다음의 구조를 갖는 유기화합물이다.","소듐메칠타우레이트","6652"
"6653","분홍노루발추출물","Pyrola Incarnata Extract","","이 원료는 분홍노루발 Pyrola incarnata에서 추출한 것이다.","","6653"
"6654","피피지-65-피이지-5펜타에리스리틸에터","PPG-65-PEG-5 Pentaerythrityl Ether","","이 원료는 평균 65몰의 프로필렌옥사이드와 5몰의 에틸렌옥사이드를 갖는 펜타에리트리톨의 폴리옥시프로필렌, 폴리옥시에틸렌 유도체이다.","피피지-65-피이지-5펜타에리스리틸에텔","6654"
"6655","피피지-3다이피발레이트","PPG-3 Dipivalate","","이 원료는 다음의 구조를 갖는 유기화합물이다.","피피지-3디피발레이트","6655"
"6656","다이모르폴리노피리다지논","Dimorpholinopyridazinone","","이 원료는 다음의 구조를 갖는 헤테로고리 화합물이다.","디모폴리노피리다지논","6656"
"6657","다이-티이에이-팔미토일아스파테이트","Di-TEA-Palmitoyl Aspartate","","이 원료는 아스파틱애씨드늬 팔미틱아마이드의 트라이에탄올아민염이다. 다음의 구조를 갖는다.","디-티이에이-팔미토일아스파테이트","6657"
"6658","헵틸운데실하이드록시스테아레이트","Heptylundecyl Hydroxystearate","","이 원료는 다음의 구조를 갖는 유기화합물이다.","","6658"
"6659","헥실트라이메톡시실란","Hexyltrimethoxysilane","","이 원료는 다음의 구조를 갖는 유기화합물이다.","헥실트리메톡시실란","6659"
"6660","아이소세테스-25","Isoceteth-25","","이 원료는 주로 다음의 구조를 갖는 아이소세틸알코올의 폴리에틸렌글라이콜에터이다. n은 평균 25이다.","이소세테스-25","6660"
"6661","피이지/피피지-14/7다이메틸에터","PEG/PPG-14/7 Dimethyl Ether","","이 원료는 14몰의 에틸렌옥사이드와 다이메틸에터로 말단이 치환된 7몰의 프로필렌옥사이드의 상호반응에 의해 얻은 공중합체이다.","피이지/피피지-14/7디메칠에텔","6661"
"6662","펜타에리스리틸테트라베헤네이트/벤조에이트/에틸헥사노에이트","Pentaerythrityl Tetrabehenate/Benzoate/Ethylhexanoate","","이 원료는 베헤닉, 벤조익애씨드 및 에틸헥사노익애씨드의 혼합물과 펜타에리트리톨의 테트라에스터이다.","펜타에리스리틸테트라베헤네이트/벤조에이트/에칠헥사노에이트","6662"
"6663","펜타에리스리틸테트라에틸헥사노에이트/벤조에이트","Pentaerythrityl Tetraethylhexanoate/Benzoate","","이 원료는 펜타에리트리톨과 에틸헥사노익애씨드 및 벤조익애씨드 혼합물의 테트라에스터이다.","펜타에리스리틸테트라에칠헥사노에이트/벤조에이트","6663"
"6664","알지닌아스파테이트","Arginine Aspartate","","이 원료는 아스파틱애씨드와 알지닌의 염 혼합물이다.","","6664"
"6665","비스-베헤닐/피토스테릴다이머다이리놀리에이트","Bis-Behenyl/Phytosteryl Dimer Dilinoleate","","이 원료는 다이머다이리놀레익애씨드를 가진 피토스테롤과 베헤닐알코올의 혼합물의 에스터이다.","비스-베헤닐/피토스테릴다이머디리놀리에이트","6665"
"6666","비스-부틸다이메티콘폴리글리세릴-3","Bis-Butyldimethicone Polyglyceryl-3","","이 원료는 주로 다음의 구조를 갖는 실리콘 중합체이다.","비스-부틸디메치콘폴리글리세릴-3","6666"
"6667","C12-15알케스-2포스페이트","C12-15 Alketh-2 Phosphate","","이 원료는 포스포릭애씨드와 C12-15 파레스-2 에스터의 복합혼합물이다.","","6667"
"6668","유자씨추출물","Citrus Junos Seed Extract","","이 원료는 유자나무 Citrus junos 의 씨에서 추출한 것이다.","","6668"
"6669","데실테트라데실아민옥사이드","Decyltetradecylamine Oxide","","이 원료는 다음의 구조를 갖는 아민옥사이드이다.","","6669"
"6670","탈지쌀겨","Defatted Rice Bran","","이 원료는 쌀겨를 탈지한 것이다.","","6670"
"6671","다이메틸아크릴아마이드/소듐아크릴로일다이메틸타우레이드크로스폴리머","Dimethylacrylamide/Sodium Acryloyldimethyltaurate Crosspolymer","","이 원료는 메틸렌비스-아크릴아마이드로 가교된 소듐아크릴로일다이메틸타우레이트와 다이메틸아크릴아마이드의 공중합체이다.","디메칠아크릴아마이드/소듐아크릴로일디메칠타우레이트크로스폴리머","6671"
"6672","시로미잎추출물","Empetrum Nigrum Leaf Extract","","이 원료는 시로미(Empetrum nigrum)의 잎에서 추출한 것이다.","","6672"
"6673","바위솔추출물","Orostachys Japonica Extract","","이 원료는 바위솔 Orostachys japonica의 전초에서 추출한 것이다.","","6673"
"6674","밤부사 불가리스캘러스배양추출물","Bambusa Vulgaris Callus Culture Extract","","이 원료는 밤부사 불가리스 Bambusa Vulgaris의 캘러스 배양물에서 추출한 것이다.","대나무캘러스배양추출물","6674"
"6675","에틸페룰레이트","Ethyl Ferulate","","이 원료는 페룰릭애씨드와 에틸알코올의 에스터이며, 다음의 구조를 갖는다.","에칠페룰레이트","6675"
"6676","다이소듐우리딘포스페이트","Disodium Uridine Phosphate","","이 원료는 다음의 구조를 갖는 유기화합물이다.","디소듐우리딘포스페이트","6676"
"6677","다이메티콘/비스-아이소부틸피피지-20크로스폴리머","Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer","","이 원료는 비스-메탈릴 피피지-20이 가교결합된 수소 메티콘의 가교중합체이다.","디메치콘/비스-이소부틸피피지-20크로스폴리머","6677"
"6678","비스-아이소부틸피이지/피피지-10/7/다이메티콘코폴리머","Bis-Isobutyl PEG/PPG-10/7/Dimethicone Copolymer","","이 원료는 평균 10몰의 에틸렌옥사이드와 7몰의 프로필렌옥사이드를 포함하는 다이메티콘, 폴리에틸렌글라이콜 및 폴리프로필렌글라이콜의 랜덤 공중합체이다.","비스-이소부틸피이지/피피지-10/7디메치콘코폴리머","6678"
"6679","신양벚나무열매추출물","Prunus Cerasus (Bitter Cherry) Fruit Extract","","이 원료는 신양벚나무 Prunus cerasus의 열매에서 추출한 것이다.","","6679"
"6680","아르간껍질가루","Argania Spinosa Shell Powder","","이 원료는 아르간 Argania spinosa의 너트(씨)껍질을 건조하여 가루로 한 것이다.","아르간트리껍질가루","6680"
"6681","달맞이꽃씨","Oenothera Biennis (Evening Primrose) Seed","","이 원료는 달맞이꽃(Evening Primrose) Oenothera Biennis의 씨이다.","","6681"
"6682","다이하이드록시아이소프로필팔모일팜아마이드","Dihydroxyisopropyl Palmoylpalmamide","","이 원료는 팜오일 케톤 다이머와 2-아미노-1,3-프로판다이올의 반응에서 형성된 치환된 아마이드이다. 주로 다음의 구조를 갖으며 R과 R'는 팜오일에서 유래되었다.","디하이드록시이소프로필팔모일팜아마이드","6682"
"6683","사막장미잎추출물","Adenium Obesum Leaf Extract","","이 원료는 사막장미 Adenium obesum의 잎에서 추출한 것이다.","아데늄 오베숨잎추출물","6683"
"6684","독일가문비추출물","Picea Abies Extract","","이 원료는 독일가문비 Picea Abies의 전초에서 추출한 것이다.","","6684"
"6685","부레옥잠추출물","Eichhornia Crassipes Extract","","이 원료는 부레옥잠 Eichhornia crassipes 전초에서 추출한 것이다.","","6685"
"6686","네오헤스페리딘다이하이드로칼콘","Neohesperidin Dihydrochalcone","","이 원료는 다음의 구조를 갖는 유기화합물이다.","네오헤스페리딘디하이드로찰콘","6686"
"6687","꿀풀추출물","Prunella Vulgaris Extract","","이 원료는 꿀풀 Prunella vulgaris의 전초에서 추출한 것이다.","","6687"
"6688","세틸바바수에이트","Cetyl Babassuate","","이 원료는 다음의 구조를 갖는 바바수(Babassu) Orbignya Oleifera 오일로부터 유래된 지방산과 세틸알코올의 에스터이다.","","6688"
"6689","에스에이치-펜타펩타이드-19","sh-Pentapeptide-19","","이 원료는 글라이신, 메티오닌, 페닐알라닌, 타이로신의 5개의 아미노산으로 이루어진 메트-엔케팔린 단백질과 동일하게 합성된 단일 사슬 휴먼펩타이드이다.","펜타펩타이드-19","6689"
"6690","에스에이치-데카펩타이드-9","sh-Decapeptide-9","","이 원료는 단백질의 일종인 에피모르핀의 일부와 동일하게 합성된 것으로 알지닌, 글라이신, 류신, 라이신, 페닐알라닌, 프롤린과 타이로신으로 구성된 10개의 아미노산으로 이루어진 단일사슬휴먼펩타이드이다.","데카펩타이드-9","6690"
"6691","에스에이치-옥타펩타이드-4","sh-Octapeptide-4","","이 원료는 단백질의 일종인 엔케팔린의 일부와 동일하게 합성된 것으로 글라이신, 히스티딘, 류신, 라이신, 페닐알라닌 및 타이로신으로 구성된 8개의 아미노산으로 이루어진 단일사슬휴먼펩타이드이다.","옥타펩타이드-4","6691"
"6692","에스에이치-데카펩타이드-7","sh-Decapeptide-7","","이 원료는 단백질의 일종인 엔케팔린의 일부와 동일하게 합성된 것으로 글라이신, 류신, 라이신, 페닐알라닌, 세린, 트레오닌 및 타이로신으로 구성된 10개의 아미노산으로 이루어진 단일사슬휴먼펩타이드이다.","데카펩타이드-7","6692"
"6693","에스에이치-올리고펩타이드-9","sh-Oligopeptide-9","","이 원료는 대장균을 발효하여 얻은 단일사슬 합성휴먼펩타이드로서 11개의 아미노산을 포함한다. 출발유전자는 Enkephalin을 코딩하는 인간 유전자와 동일한 코드를 갖도록 합성된 것으로 그대로 사용하거나 생산숙주에 적합하게 개조된 것이다. 이것은 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 최대 267개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.","올리고펩타이드-9","6693"
"6694","니코티노일에스에이치-펜타펩타이드-19","Nicotinoyl sh-Pentapeptide-19","","이 원료는 나이아신과 에스에이치-펜타펩타이드-19의 반응으로 얻은 생산물이다.","니코티노일펜타펩타이드-19","6694"
"6695","퉁퉁마디캘러스배양추출물","Salicornia Herbacea Callus Culture Extract","","이 원료는 퉁퉁마디 Salicornia herbacea의 캘러스를 배양하여 추출한 것이다.","함초캘러스배양추출물","6695"
"6696","마편초잎추출물","Verbena Officinalis Leaf Extract","","이 원료는 마편초 (Verbena officinalis)의 잎에서 추출한 것이다.","","6696"
"6697","록샘파이어캘러스배양여과물","Crithmum Maritimum Callus Culture Filtrate","","이 원료는 록샘파이어 Crithmum maritimum캘러스를 배양하여 여과한 것이다.","","6697"
"6698","아스퍼질러스/락토바실러스/생강/쌀발효여과물","Aspergillus/Lactobacillus/Ginger Root/Rice Ferment Filtrate","","이 원료는 누룩곰팡이 Aspergillus로 생강 Zingiber Officinale, 쌀 Oryza sativa을 발효하여 여과한 것이다.","","6698"
"6699","둥근잎천남성추출물","Arisaema Amurense Extract","","이 원료는 둥근잎천남성 Arisaema amurense의 전초에서 추출한 것이다.","","6699"
"6700","효모/겨우살이발효추출물","Saccharomyces/Viscum Album (Mistletoe) Ferment Extract","","이 원료는 효모로 겨우살이 Viscum album를 발효시켜 얻은 생성물을 여과한 것이다.","","6700"
"6701","효모/띠뿌리발효추출물","Saccharomyces/Imperata Cylindrica Root Ferment Extract","","이 원료는 효모로 띠 Imperata cylindrica의 뿌리를 발효하여 여과한 것이다.","효모/모근발효추출물","6701"
"6702","수크로오스코코에이트","Sucrose Cocoate","","이 원료는 주로 모노에스터로 구성된 코코넛애씨드의 수크로오스에스터의 혼합물이다.","슈크로오스코코에이크,슈크로오스코코에이트","6702"
"6703","인삼캘러스배양추출물","Panax Ginseng Callus Culture Extract","72480-62-7,1449115-64-3","이 원료는 인삼 Panax ginseng의 캘러스 배양물에서 추출한 것이다.","","6703"
"6704","다래추출물","Actinidia Arguta Fruit Extract","","이 원료는 다래 Actinidia arguta의 열매에서 추출한 것이다.","","6704"
"6705","포믹애씨드","Formic Acid","","이 원료는 다음의 구조를 갖는 유기산이다.","","6705"
"6706","로도슈도모나스배양액","Rhodopseudomonas Conditioned Media","","","","6706"
"6707","설퍼라이즈드티이에이-리시놀리에이트","Sulfurized TEA-Ricinoleate","","이 원료는 황과 리티놀레익애씨드의 트라이에탄올아민염과의 반응 생성물이다.","","6707"
"6708","중국부채야자열매추출물","Livistona Chinensis Fruit Extract","","이 원료는 중국부채야자 Livistona Chinensis의 열매에서 추출한 것이다.","중국팬팜열매추출물","6708"
"6709","당살초줄기추출물","Gymnema Sylvestre Stem Extract","","이 원료는 당살초 Gymnema Sylvestre의 줄기에서 추출한 것이다.","","6709"
"6710","드루핑쉬오크가지/잎추출물","Casuarina Stricta Branch/Leaf Extract","","이 원료는 드루핑쉬오크 Casuarina stricta의 가지와 잎에서 추출한 것이다.","","6710"
"6711","올레오일타이로신","Oleoyl Tyrosine","","이 원료는 다음의 구조를 갖는 유기화합물이다.","","6711"
"6712","무궁화씨추출물","Hibiscus Syriacus Seed Extract","","이 원료는 무궁화(Hibiscus Syriacus)의 씨에서 추출한 것이다.","","6712"
"6713","보아칸가 아프리카나씨추출물","Voacanga Africana Seed Extract","","이 원료는 Voacanga africana 의 씨에서 추출한 것이다.","보아캉가씨추출물","6713"
"6714","배더락스추출물","Alaria Esculenta Extract","","이 원료는 조류의 일종인 배더락스 Alaria esculenta에서 추출한 것이다.","","6714"
"6715","긴병꽃풀추출물","Glechoma Hederacea Extract","","이 원료는 허브의 일종인 긴병꽃풀 Glechoma hederacea에서 추출한 것이다.","","6715"
"6716","레드호그위드뿌리추출물","Boerhavia Diffusa Root Extract","","이 원료는 레드호그위드 Boerhavia diffusa의 뿌리에서 추출한 것이다.","","6716"
"6717","트라이펩타이드-32","Tripeptide-32","","이 원료는 프롤린과 세린, 트레오닌을 포함하는 합성펩타이드이다.","트리펩타이드-32","6717"
"6718","프로필렌글라이콜미리스테이트","Propylene Glycol Myristate","","이 원료는 주로 다음의 구조를 갖는 프로필렌글라이콜과 미리스틱애씨드의 에스터이다.","","6718"
"6719","C4-24알킬다이메티콘/다이비닐다이메티콘크로스폴리머","C4-24 Alkyl Dimethicone/Divinyldimethicone Crosspolymer","","이 원료는 비스-비닐다이메티콘으로 가교된 C4-24 알킬 다이메티콘의 공중합체이다.","C4-24일킬디메치콘/디비닐디메치콘크로스폴리머","6719"
"6720","펜타에리스리틸스테아레이트/카프레이트/카프릴레이트/아디페이트","Pentaerythrityl Stearate/Caprate/Caprylate/Adipate","","이 원료는 펜타에리트리톨과 스테아릭, 카프릭, 카프릴릭, 아디픽애씨드의 혼합 에스터이다.","","6720"
"6721","라즈베리잎가루","Rubus Idaeus (Raspberry) Leaf Powder","","이 원료는 라즈베리(Raspberry) Rubus idaeus의 잎을 건조하여 가루로 한 것이다.","","6721"
"6722","버지니안스컬캡꽃가루","Scutellaria Lateriflora Flower Powder","","이 원료는 버지니안스컬캡 Scutellaria lateriflora의 꽃을 건조하여 가루로 한 것이다.","","6722"
"6723","다이메톡시톨릴프로필레조시놀","Dimethoxytolyl Propylresorcinol","","이 원료는 다음의 구조를 갖는 유기화합물이다.","디메톡시톨릴프로필레조시놀","6723"
"6724","더치라벤더꽃/잎/줄기추출물","Lavandula Intermedia Flower/Leaf/Stem Extract","","이 원료는 더치라벤더 Lavandula intermedia의 잎, 꽃 및 줄기에서 추출한 것이다.","","6724"
"6725","스위트아몬드나무껍질가루","Prunus Amygdalus Dulcis (Sweet Almond) Bark Powder","","이 원료는 스위트아몬드(Sweet Almond) Prunus Amygdalus Dulcis의 껍질을 건조하여 가루로 한 것이다.","","6725"
"6726","피이지-12글리세릴다이미리스테이트","PEG-12 Glyceryl Dimyristate","","이 원료는 주로 다음의 구조를 갖는 글리세릴다이미리스테이트의 폴리에틸렌글라이콜에터이다. x+y+z는 평균 12이다.","피이지-12글리세릴디미리스테이트","6726"
"6727","트라이아이소데실트라이멜리테이트","Triisodecyl Trimellitate","","이 원료는 아이소데실알코올과 트라이멜리틱애씨드의 트라이에스터이다. 주로 다음의 구조를 갖는다.","트리이소데실트리멜리테이트","6727"
"6728","하이드로제네이티드다이리놀레일알코올","Hydrogenated Dilinoleyl Alcohol","","이 원료는 다이리놀레일알코올에 조건화 수소첨가반응을 하여 얻은 것이다.","하이드로제네이티드디리놀레일알코올","6728"
"6729","테트라메틸헥사페닐테트라실록세인","Tetramethyl Hexaphenyl Tetrasiloxane","","이 원료는 다음의 구조를 갖는 실리콘화합물이다.","테트라메칠헥사페닐테트라실록산","6729"
"6730","안디로바씨가루","Carapa Guaianensis Seed Powder","","이 원료는 안디로바 Carapa procera의 씨를 건조시켜 얻은 가루이다.","","6730"
"6731","바베이도스체리","Malpighia Punicifolia (Acerola) Fruit","","이 원료는 바베이도스체리(Acerola) Malpighia punicifolia(=Malpighia glabra)의 열매이다.","아세로라","6731"
"6732","수크로오스폴리올리에이트","Sucrose Polyoleate","","이 원료는 올레익애씨드와 수크로오스의 에스터의 혼합물이다.","슈크로오스폴리올리에이트","6732"
"6733","오렌지유","Orange Yu","","이 원료는 감귤류 Citrus spp 열매의 껍질에서 얻은 에센셜오일(정유)이다.","오렌지류껍질오일","6733"
"6734","아미노에틸아미노프로필다이메티콘","Aminoethylaminopropyl Dimethicone","","이 원료는 다음의 구조를 갖는 실록세인중합체이다.","아미노에칠아미노프로필디메치콘","6734"
"6735","랍도시아 루베스켄스추출물","Rabdosia Rubescens Extract","","이 원료는 Rabdosia Rubescens의 전초에서 추출한 것이다.","동릉초추출물","6735"
"6736","당근캘러스배양추출물","Daucus Carota Sativa (Carrot) Callus Culture Extract","","이 원료는 당근(Carrot) Daucus Carota Sativa의 캘러스를 배양하여 추출한 것이다.","","6736"
"6737","타이칡캘러스배양추출물","Pueraria Mirifica Callus Culture Extract","","이 원료는 타이칡 Pueraria mirifica의 캘러스 배양액에서 추출한 것이다.","","6737"
"6738","다마스크장미캘러스배양추출물","Rosa Damascena Callus Culture Extract","","이 원료는 다마스크장미 Rosa damascena의 캘러스 배양물에서 추출한 것이다.","","6738"
"6739","녹차캘러스배양추출물","Camellia Sinensis Callus Culture Extract","","이 원료는 차나무(Camellia sinensis)의 캘러스를 배양하여 추출한 것이다.","","6739"
"6740","포도캘러스배양추출물","Vitis Vinifera (Grape) Callus Culture Extract","","이 원료는 포도 (Grape) Vitis Vinifera의 캘러스 배양액에서 추출한 것이다.","포도줄기세포추출물","6740"
"6741","창포캘러스배양추출물","Acorus Calamus Callus Culture Extract","","이 원료는 창포 Acorus calamus의 캘러스를 배양하여 추출한 것이다.","","6741"
"6742","하이드롤라이즈드양버즘나무추출물","Hydrolyzed Platanus Occidentalis Extract","","이 원료는 산, 효소 또는 다른 방법으로 양버즘나무 Platanus occidentalis추출물을 가수분해한 것이다.","","6742"
"6743","수크로오스펜타하이드록시스테아레이트","Sucrose Pentahydroxystearate","","이 원료는 수크로오스와 하이드록시스테아릭애씨드의 펜타에스터이다.","슈크로오스펜타하이드록시스테아레이트","6743"
"6744","사탕무잎추출물","Beta Vulgaris (Beet) Leaf Extract","","이 원료는 사탕무(Beet) Beta vulgaris의 잎에서 추출한 것이다.","비트잎추출물","6744"
"6745","말채나무추출물","Cornus Walteri Extract","","이 원료는 말채나무 Cornus walteri의 전초에서 추출한 것이다.","","6745"
"6746","돌콩펩타이드","Glycine Soja (Soybean) Peptide","","이 원료는 돌콩(Soybean) Glycine Soja의 단백질으로부터 분리한 다이/트라이 펩타이드이다.","콩펩타이드","6746"
"6747","스노베리열매가루","Symphoricarpos Albus Fruit Powder","","이 원료는 스노베리 (snowberry) Symphoricarpos Albus를 건조하여 가루로 한 것이다.","","6747"
"6748","아이소람네틴","Isorhamnetin","","이 원료는 다음의 구조를 갖는 유기화합물이다.","이소람네틴","6748"
"6749","알에이치-올리고펩타이드-2","rh-Oligopeptide-2","","이 원료는 대장균에서 발효하여 얻은 단일사슬 재조합 휴먼 펩타이드이다. 출발유전자는 인체세포에서 직접 분리된 Insulin-Like Growth Factor 1을 코딩하는 사람 유전자와 동일한 코드를 갖도록 합성된 것으로 그대로 사용하거나 생산숙주에 적합하게 개조된 것이다. 이것은 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 최대 195개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산은 표준아미노산이다.","휴먼올리고펩타이드-2","6749"
"6750","알에이치-폴리펩타이드-1","rh-Polypeptide-1","","이 원료는 대장균으로 발효된 단일사슬인간재조합펩타이드이다. 출발유전자는 인체세포에서 직접 분리된 기본섬유아세포성장인자(Basic Fibroblast Growth Factor)를 코딩하는 사람 유전자와 동일한 코드를 갖도록 합성된 것으로 그대로 사용하거나 생산숙주에 적합하게 개조된 것이다. 이것은 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 최대 210개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산은 표준아미노산이다.","","6750"
"6751","알에이치-폴리펩타이드-2","rh-Polypeptide-2","","이 원료는 대장균으로 발효하여 얻은 단일사슬 재조합 휴먼펩타이드이다. 출발유전자는 인체세포에서 직접 분리된 Thioredoxin을 코딩하는 사람 유전자로 그대로 사용하거나 생산숙주에 적합하게 개조된 것이다. 이것은 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 최대 105개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산은 표준아미노산이다.","","6751"
"6752","알에이치-폴리펩타이드-7","rh-Polypeptide-7","","이 원료는 대장균으로 발효하여 얻은 단일사슬 재조합 휴먼펩타이드이다. 출발유전자는 인체세포에서 직접 분리된 Human Growth Hormone을 코딩하는 사람 유전자로 그대로 사용하거나 생산숙주에 적합하게 개조된 것이다. 이것은 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 최대 217개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산은 표준아미노산이다.","","6752"
"6753","알에이치-폴리펩타이드-9","rh-Polypeptide-9","","이 원료는 대장균으로 발효하여 얻은 단일사슬 재조합 휴먼펩타이드이다. 출발유전자는 인체세포에서 직접 분리된 Vascular Endothelial Growth Factor A를 코딩하는 사람 유전자로 그대로 사용하거나 생산숙주에 적합하게 개조된 것이다. 이것은 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 최대 241개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산은 표준아미노산이다.","","6753"
